Brnd_Name,Gnrc_Name,Mftr_Name,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
Tolvaptan,Tolvaptan,Ascend Laborato,0,0,0,670926,7240416
Dronabinol,Dronabinol,Ascend Laborato,104669,11875724,12042369,8728658,7364707
Valsartan,Valsartan,Ascend Laborato,0,0,513895,3597152,7704260
Lansoprazole,Lansoprazole,Ascend Laborato,0,0,0,4522031,7918530
Ezetimibe-Simvastatin,Ezetimibe/Simvastatin,Ascend Laborato,0,2757833,10011734,17374645,10016864
Olmesartan Medoxomil,Olmesartan Medoxomil,Ascend Laborato,2540255,15551614,5716496,8193288,10196760
Cefuroxime,Cefuroxime Axetil,Ascend Laborato,6037553,6417568,9967399,10669202,10277480
Tamsulosin HCl,Tamsulosin HCl,Ascend Laborato,5631,4600889,4753627,11928274,10324039
Linezolid,Linezolid,Ascend Laborato,5771099,10339101,12237901,11905714,10585788
Triamcinolone Acetonide*,Triamcinolone Acetonide,Ascend Laborato,10122051,12731236,12358550,14292019,11788894
Droxidopa,Droxidopa,Ascend Laborato,0,0,0,0,12306858
Chlorthalidone,Chlorthalidone,Ascend Laborato,0,0,0,3976067,12481687
Temazepam,Temazepam,Ascend Laborato,12191735,14591398,21476917,15350594,12885931
Mycophenolate Mofetil,Mycophenolate Mofetil,Ascend Laborato,4559247,8888022,12061438,10394215,13357689
Colchicine,Colchicine,Ascend Laborato,0,0,0,10532864,13462272
Metformin HCl ER,Metformin HCl,Ascend Laborato,1763422,6787465,8966290,13641943,13553948
Cinacalcet HCl,Cinacalcet HCl,Ascend Laborato,0,0,222396,17309170,13668415
Finasteride,Finasteride,Ascend Laborato,1180040,2182417,12559608,12540957,14429907
Cephalexin,Cephalexin,Ascend Laborato,2206407,7400847,10727075,11828974,16399898
Atorvastatin Calcium,Atorvastatin Calcium,Ascend Laborato,0,0,2915009,8461156,16635578
Rasagiline Mesylate,Rasagiline Mesylate,Ascend Laborato,193957,16713621,18871612,20010646,17277855
Dalfampridine ER,Dalfampridine,Ascend Laborato,0,4912685,34863427,32774662,17447724
Ibuprofen,Ibuprofen,Ascend Laborato,11237320,16866587,24864374,21872747,18481109
Solifenacin Succinate,Solifenacin Succinate,Ascend Laborato,0,0,9371021,15974275,19283759
Pregabalin,Pregabalin,Ascend Laborato,0,0,1412372,19993053,20644379
Telmisartan,Telmisartan,Ascend Laborato,3036310,6719628,15294749,21748880,21020785
Colesevelam HCl,Colesevelam HCl,Ascend Laborato,0,22236,12726666,27795553,22861275
Metformin HCl,Metformin HCl,Ascend Laborato,3371896,10411393,10907476,25204846,28032302
Aripiprazole,Aripiprazole,Ascend Laborato,0,0,68494,29970874,66975258
Quetiapine Fumarate,Quetiapine Fumarate,Ascend Laborato,24080998,33937975,51246877,68955536,76439653
Ezetimibe,Ezetimibe,Ascend Laborato,0,65638666,86932000,89263827,78660982
Amlodipine Besylate,Amlodipine Besylate,Ascend Laborato,19079392,58429744,74699864,83420488,88440424
Gabapentin,Gabapentin,Ascend Laborato,44656722,70556594,98787576,120789595,92981003
Estrogel,Estradiol,Ascend Therapeu,0,0,0,399296,685995
Binosto,Alendronate Sodium,Ascend Therapeu,0,0,0,1165135,711236
Ledipasvir-Sofosbuvir,Ledipasvir/Sofosbuvir,Asegua Therapeu,0,0,25843414,19372142,14313391
Sofosbuvir-Velpatasvir,Sofosbuvir/Velpatasvir,Asegua Therapeu,0,0,49550573,108433532,95449049
Myleran,Busulfan,Aspen/Prasco La,26030,19579,25269,65181,71225
Tabloid,Thioguanine,Aspen/Prasco La,222811,198191,145341,167678,180172
Leukeran,Chlorambucil,Aspen/Prasco La,9259298,8073586,5529895,3645687,2824421
Zipsor,Diclofenac Potassium,Assertio Therap,3546497,3260310,3495215,3625500,3430409
Cambia,Diclofenac Potassium,Assertio Therap,5018469,6227915,6930068,7032916,6823634
Gralise,Gabapentin,Assertio/Almati,29365454,24469507,23673267,21334685,5789511
Vesicare Ls,Solifenacin Succinate,Astellas Pharma,0,0,0,0,7685
Astagraf XL,Tacrolimus,Astellas Pharma,410577,368384,441925,481694,512144
Mycamine,Micafungin Sodium,Astellas Pharma,6508854,7240480,8245723,6161578,1638459
Ambisome,Amphotericin B Liposome,Astellas Pharma,1161810,746873,1397989,1682797,1974073
Vesicare,Solifenacin Succinate,Astellas Pharma,696840169,691682757,360898310,24266368,11939851
Xospata,Gilteritinib Fumarate,Astellas Pharma,0,775798,33172101,58718494,70195773
Myrbetriq,Mirabegron,Astellas Pharma,787114789,1063499339,1444965897,1749232347,1989099248
Xtandi,Enzalutamide,Astellas Pharma,854223632,1182582187,1420960113,1968567948,2411262130
Prograf*,Tacrolimus,Astellas Pharma*,11785052,9187852,7005509,7621148,6440835
Cresemba*,Isavuconazonium Sulfate,Astellas Pharma*,16893296,29129856,41885906,55590672,59881233
Mycamine,Micafungin Sodium,Astellas/Novapl,160075,598951,478846,350622,54725
Toprol XL,Metoprolol Succinate,Astrazeneca,42029829,2474978,181056,17274,2098
Nexium I.V.,Esomeprazole Sodium,Astrazeneca,78122,54782,16642,4921,3454
Pulmicort,Budesonide,Astrazeneca,476090,316241,202140,86897,41961
Saphnelo,Anifrolumab-Fnia,Astrazeneca,0,0,0,0,390473
Faslodex,Fulvestrant,Astrazeneca,7474972,7859540,7179328,1642589,670070
Symlinpen 60,Pramlintide Acetate,Astrazeneca,3613177,3197515,2669387,2194533,1955777
Qtern,Dapagliflozin/Saxagliptin HCl,Astrazeneca,0,176758,736294,1986364,2228866
Symlinpen 120,Pramlintide Acetate,Astrazeneca,11430578,8669663,6499677,5690833,4208122
Movantik,Naloxegol Oxalate,Astrazeneca,75630897,86780509,93312522,80887806,6119564
Iressa,Gefitinib,Astrazeneca,26395400,20241619,14729641,9962994,7349915
Imfinzi,Durvalumab,Astrazeneca,265553,4764486,7803691,8125802,8420171
Koselugo,Selumetinib/Vitamin E Tpgs,Astrazeneca,0,0,0,3507793,8545575
Seroquel,Quetiapine Fumarate,Astrazeneca,16696690,15225748,13692050,12952261,11504475
Seroquel XR,Quetiapine Fumarate,Astrazeneca,188063133,32340420,18198868,14820760,12146599
Kombiglyze XR,Saxagliptin HCl/Metformin HCl,Astrazeneca,69774034,61716418,55583327,39461425,35427772
Byetta,Exenatide,Astrazeneca,101916340,79558651,61401577,47676632,37988662
Crestor,Rosuvastatin Calcium,Astrazeneca,307921230,77289900,59381120,54380618,48218264
Pulmicort Flexhaler,Budesonide,Astrazeneca,44189784,54953474,50141146,54374870,52166128
Fasenra,Benralizumab,Astrazeneca,0,14770062,37095415,43358082,54241546
Bydureon Pen,Exenatide Microspheres,Astrazeneca,263092808,270926739,274072245,241707664,61065046
Fasenra Pen,Benralizumab,Astrazeneca,0,0,373213,27206203,72626339
Bevespi Aerosphere,Glycopyrrolate/Formoterol Fum,Astrazeneca,13064145,49549193,68060651,72965723,77583374
Nexium,Esomeprazole Magnesium,Astrazeneca,453951965,209228361,172832257,106028083,94196779
Lokelma,Sodium Zirconium Cyclosilicate,Astrazeneca,0,0,7671005,48507096,100112117
Xigduo XR,Dapagliflozin/Metformin HCl,Astrazeneca,19843507,34708250,52774025,73873720,114228126
Onglyza,Saxagliptin HCl,Astrazeneca,244202762,221528078,194969058,136654032,119840127
Breztri Aerosphere,Budesonide/Glycopyr/Formoterol,Astrazeneca,0,0,0,4790562,179310190
Daliresp,Roflumilast,Astrazeneca,142115016,156387442,173569406,189731323,199140335
Bydureon Bcise,Exenatide Microspheres,Astrazeneca,92314,111967299,215485804,266160951,379243467
Lynparza,Olaparib,Astrazeneca,45907401,119106528,242845094,358856238,426649225
Brilinta,Ticagrelor,Astrazeneca,309637539,424101516,541645266,588513924,602371203
Calquence,Acalabrutinib,Astrazeneca,705323,33476152,103935941,349971873,774700145
Tagrisso,Osimertinib Mesylate,Astrazeneca,189318538,387940690,640651419,793479172,913265970
Farxiga,Dapagliflozin Propanediol,Astrazeneca,192981931,356520431,508113446,736787564,1421505274
Symbicort,Budesonide/Formoterol Fumarate,Astrazeneca,1510017386,1751036418,2015902102,1979983682,1952249973
Quetiapine Fumarate ER,Quetiapine Fumarate,Astrazeneca Lp/,8023370,800873,225277,75658,2815
Fulvestrant,Fulvestrant,Astrazeneca Lp/,0,0,80279,784932,86206
Esomeprazole Magnesium,Esomeprazole Magnesium,Astrazeneca Lp/,3253,12998200,25041658,3896212,212200
Duaklir Pressair,Aclidinium Brom/Formoterol Fum,Astrazeneca/Cov,0,0,27764,429432,346689
Tudorza Pressair,Aclidinium Bromide,Astrazeneca/Cov,44951018,37240151,34876685,25612948,18018964
Budesonide-Formoterol Fumarate,Budesonide/Formoterol Fumarate,Astrazeneca/Pra,0,0,0,155424568,176886783
Folic Acid*,Folic Acid,"Athem, LLC",0,0,0,0,173
Tolterodine Tartrate,Tolterodine Tartrate,"Athem, LLC",0,0,0,0,5584
Amantadine,Amantadine HCl,"Athem, LLC",0,0,0,0,104708
Furosemide*,Furosemide,Athenex Pharmac,0,0,0,0,369
Prochlorperazine Edisylate,Prochlorperazine Edisylate,Athenex Pharmac,0,0,10846,7678,1342
Famotidine,Famotidine/PF,Athenex Pharmac,0,0,0,0,1638
Gemcitabine HCl,Gemcitabine HCl,Athenex Pharmac,0,1795,5324,2364,2377
Polymyxin B Sulfate,Polymyxin B Sulfate,Athenex Pharmac,8182,3150,9639,17939,4769
Levetiracetam-NaCl,Levetiracetam In NaCl (Iso-Os),Athenex Pharmac,0,0,27907,16329,8051
Ondansetron HCl,Ondansetron HCl/PF,Athenex Pharmac,593,11339,34287,13208,12814
Zoledronic Acid,Zoledronic Acid/Mannitol-Water,Athenex Pharmac,0,0,0,11484,13690
Ondansetron HCl*,Ondansetron HCl,Athenex Pharmac,3980,6566,8891,13168,13782
Azithromycin*,Azithromycin,Athenex Pharmac,3116,11574,16204,20181,14047
Paclitaxel,Paclitaxel,Athenex Pharmac,0,0,8300,22509,14373
Caspofungin Acetate,Caspofungin Acetate,Athenex Pharmac,0,0,182649,351744,26814
Fulvestrant,Fulvestrant,Athenex Pharmac,0,0,0,28116,43761
Desmopressin Acetate*,Desmopressin Acetate,Athenex Pharmac,0,0,0,0,152506
Penicillin G Potassium,Penicillin G Potassium,Athenex Pharmac,0,0,6255,149339,254126
Vancomycin HCl*,Vancomycin HCl,Athenex Pharmac,115300,599166,568591,318460,313799
Piperacillin-Tazobactam,Piperacillin Sodium/Tazobactam,Athenex Pharmac,0,0,4360,89421,344105
Nafcillin Sodium*,Nafcillin Sodium,Athenex Pharmac,0,0,189456,315054,461822
Ampicillin Sodium*,Ampicillin Sodium,Athenex Pharmac,0,22238,184974,359245,559978
Levothyroxine Sodium*,Levothyroxine Sodium,Athenex Pharmac,0,0,390413,412761,717712
Ketorolac Tromethamine*,Ketorolac Tromethamine,Athenex Pharmac*,5166,7671,14115,16328,15701
Azithromycin*,Azithromycin,Athenex-Novaplu,0,0,0,1495,695
Lupkynis,Voclosporin,Aurinia Pharma,0,0,0,0,4067190
Trazodone HCl,Trazodone HCl,Aurobindo Pharm,0,0,0,0,90
Felodipine ER,Felodipine,Aurobindo Pharm,0,0,0,330,284
Famciclovir,Famciclovir,Aurobindo Pharm,557,0,2150,1533,1028
Glyburide,Glyburide,Aurobindo Pharm,1019146,1067650,565614,43222,1029
Phentermine HCl,Phentermine HCl,Aurobindo Pharm,0,0,0,769,1359
Carisoprodol,Carisoprodol,Aurobindo Pharm,39747,126312,63195,3556,1476
Trandolapril,Trandolapril,Aurobindo Pharm,5351,3214,2102,2426,1602
Metronidazole*,Metronidazole,Aurobindo Pharm,74996,10834,3315,1676,1832
Risperidone,Risperidone,Aurobindo Pharm,36412,33792,25423,3489,1897
Fosinopril Sodium,Fosinopril Sodium,Aurobindo Pharm,2124,1767,1400,1591,2007
Metformin HCl ER,Metformin HCl,Aurobindo Pharm,2547,1435,1609,1349,2078
Cefprozil,Cefprozil,Aurobindo Pharm,17640,6933,6114,5009,3075
Nevirapine ER,Nevirapine,Aurobindo Pharm,202136,1017529,244422,8807,4015
Alfuzosin HCl ER,Alfuzosin HCl,Aurobindo Pharm,2858,2506,884,1050,4147
Tri-Mili,Norgestimate-Ethinyl Estradiol,Aurobindo Pharm,0,0,287,1034,4775
Venlafaxine HCl,Venlafaxine HCl,Aurobindo Pharm,9139,6252,4386,3206,4794
Divalproex Sodium,Divalproex Sodium,Aurobindo Pharm,7101,3877,4225,4312,5066
Pramipexole Dihydrochloride,Pramipexole Di-HCl,Aurobindo Pharm,15790,8039,8161,7748,8176
Darifenacin ER,Darifenacin Hydrobromide,Aurobindo Pharm,2116060,1860838,308778,9663,8362
Lisinopril-Hydrochlorothiazide,Lisinopril/Hydrochlorothiazide,Aurobindo Pharm,20258,13000,10956,8976,8432
Zolmitriptan*,Zolmitriptan,Aurobindo Pharm,249329,495753,50052,6923,9275
Telmisartan,Telmisartan,Aurobindo Pharm,138871,35189,21448,10654,10560
Meloxicam,Meloxicam,Aurobindo Pharm,38746,21789,16599,11130,11870
Donepezil HCl,Donepezil HCl,Aurobindo Pharm,41991,33226,28759,19268,13146
Lo-Zumandimine,Ethinyl Estradiol/Drospirenone,Aurobindo Pharm,0,0,5356,28931,17216
Irbesartan,Irbesartan,Aurobindo Pharm,18635,21120,24704,22128,18003
Lisinopril,Lisinopril,Aurobindo Pharm,26916,24717,25766,20630,21029
Olanzapine ODT,Olanzapine,Aurobindo Pharm,1295019,791856,133085,37733,24655
Zumandimine,Ethinyl Estradiol/Drospirenone,Aurobindo Pharm,0,0,0,7309,26944
Quetiapine Fumarate ER,Quetiapine Fumarate,Aurobindo Pharm,0,606093,744176,129478,27799
Amlodipine-Valsartan-HCTZ,Amlodipine/Valsartan/HCThiazid,Aurobindo Pharm,0,0,746731,297445,28818
Amlodipine Besylate,Amlodipine Besylate,Aurobindo Pharm,23501,22154,22774,25118,28986
Aurovela,Norethindrone Ac-Eth Estradiol,Aurobindo Pharm,0,0,2047,6126,50867
Latanoprost,Latanoprost,Aurobindo Pharm,0,0,385,42861,72115
Nifedipine ER,Nifedipine,Aurobindo Pharm,0,0,0,0,74883
Aurovela 24 Fe,Norethindrone-E.Estradiol-Iron,Aurobindo Pharm,0,0,1453,23163,80355
Amlodipine-Valsartan,Amlodipine Besylate/Valsartan,Aurobindo Pharm,1529228,3930153,5386074,509972,93515
Zidovudine,Zidovudine,Aurobindo Pharm,300581,230464,203541,157792,95667
Hydromorphone HCl*,Hydromorphone HCl,Aurobindo Pharm,1207064,1289528,526012,234995,99215
Tri-Lo-Mili,Norgestimate-Ethinyl Estradiol,Aurobindo Pharm,0,0,1331,83944,105086
Incassia,Norethindrone,Aurobindo Pharm,0,0,660,71978,115523
Chlorzoxazone,Chlorzoxazone,Aurobindo Pharm,0,0,0,0,122429
Nevirapine,Nevirapine,Aurobindo Pharm,377655,255789,223781,158727,148649
Cefixime,Cefixime,Aurobindo Pharm,277020,226931,169318,177692,152495
Simpesse,L-Norgest/E.Estradiol-E.Estrad,Aurobindo Pharm,0,0,6197,40871,160090
Mili,Norgestimate-Ethinyl Estradiol,Aurobindo Pharm,0,12824,75397,71771,210574
Ribavirin,Ribavirin,Aurobindo Pharm,564579,247700,183214,243378,228226
Lamivudine,Lamivudine,Aurobindo Pharm,2575373,1458021,922471,688452,249461
Anastrozole,Anastrozole,Aurobindo Pharm,0,0,0,0,259635
Aurovela Fe,Norethindrone-E.Estradiol-Iron,Aurobindo Pharm,0,0,1650,125500,279391
Cefadroxil,Cefadroxil,Aurobindo Pharm,236854,297960,288330,263673,302003
Voriconazole*,Voriconazole,Aurobindo Pharm,2425381,3637448,3815938,809327,305010
Olanzapine*,Olanzapine,Aurobindo Pharm,919416,673513,354977,235227,310271
Clindamycin (Pediatric),Clindamycin Palmitate HCl,Aurobindo Pharm,289079,621568,544385,352582,324239
Hydrochlorothiazide,Hydrochlorothiazide,Aurobindo Pharm,527826,434884,245291,307910,328236
Cefuroxime,Cefuroxime Axetil,Aurobindo Pharm,8531130,6806406,5273433,2051328,349564
Quinapril HCl,Quinapril HCl,Aurobindo Pharm,4797936,4068543,2629670,508039,362841
Lamivudine-Zidovudine,Lamivudine/Zidovudine,Aurobindo Pharm,486693,272344,237887,553048,387840
Moxifloxacin HCl,Moxifloxacin HCl,Aurobindo Pharm,1810934,1271089,911860,534819,391188
Olmesartan Medoxomil,Olmesartan Medoxomil,Aurobindo Pharm,783016,10729550,12153994,1018370,419987
Topiramate,Topiramate,Aurobindo Pharm,2055,1749,1210,1011,497613
Penicillin V Potassium,Penicillin V Potassium,Aurobindo Pharm,698669,755240,450976,401208,504720
Naproxen Sodium,Naproxen Sodium,Aurobindo Pharm,1335560,1558951,1616025,1076414,635719
Pilocarpine HCl*,Pilocarpine HCl,Aurobindo Pharm,0,0,0,0,644436
Fosinopril-Hydrochlorothiazide,Fosinopril/Hydrochlorothiazide,Aurobindo Pharm,639477,537010,733890,872392,679992
Valsartan,Valsartan,Aurobindo Pharm,10223372,18304686,31375912,1927085,744051
Hydrocodone-Ibuprofen,Hydrocodone/Ibuprofen,Aurobindo Pharm,6989,53796,215046,461492,761516
Zonisamide,Zonisamide,Aurobindo Pharm,0,0,0,0,765039
Zaleplon,Zaleplon,Aurobindo Pharm,3487,1524,1531,442177,811958
Valsartan-Hydrochlorothiazide,Valsartan/Hydrochlorothiazide,Aurobindo Pharm,23994673,16558809,29122474,3358495,862617
Glyburide-Metformin HCl,Glyburide/Metformin HCl,Aurobindo Pharm,1292214,1057333,949438,1068346,888194
Naproxen,Naproxen,Aurobindo Pharm,2326,2213,1616,421223,955721
Cephalexin,Cephalexin,Aurobindo Pharm,6585228,5238790,4325137,1948127,975387
Oxymorphone HCl,Oxymorphone HCl,Aurobindo Pharm,1492852,1567237,1465717,1096340,977452
Leflunomide,Leflunomide,Aurobindo Pharm,0,0,0,0,991749
Paricalcitol*,Paricalcitol,Aurobindo Pharm,699492,1512039,1418757,1321451,992076
Perindopril Erbumine,Perindopril Erbumine,Aurobindo Pharm,860526,720294,927059,1076202,1043547
Sumatriptan Succ-Naproxen Sod,Sumatriptan Succ/Naproxen Sod,Aurobindo Pharm,0,1903180,1723457,1447883,1353022
Alprazolam ER,Alprazolam,Aurobindo Pharm,648656,1567284,1580056,1424507,1508600
Butalbital-Acetaminophen-Caffe,Butalb/Acetaminophen/Caffeine,Aurobindo Pharm,0,0,957626,1497683,1526833
Oxycodone HCl,Oxycodone HCl,Aurobindo Pharm,9782915,6571771,4142739,2710604,1546456
Galantamine HBr,Galantamine HBr,Aurobindo Pharm,8501,17863,452727,1103125,1751528
Methadone HCl*,Methadone HCl,Aurobindo Pharm,3258572,3223117,2542476,1952585,1771880
Rizatriptan,Rizatriptan Benzoate,Aurobindo Pharm,603995,521521,1098112,1632157,1790852
Abacavir,Abacavir Sulfate,Aurobindo Pharm,5846822,4621105,3097563,2415761,2114714
Carbidopa,Carbidopa,Aurobindo Pharm,0,0,0,971389,2115240
Tenofovir Disoproxil Fumarate,Tenofovir Disoproxil Fumarate,Aurobindo Pharm,0,6454372,3823340,3315200,2175171
Glycopyrrolate*,Glycopyrrolate,Aurobindo Pharm,1154750,1743256,2065377,1899103,2230316
Clarithromycin,Clarithromycin,Aurobindo Pharm,2462939,1705776,2996321,2564283,2283663
Tramadol HCl-Acetaminophen,Tramadol HCl/Acetaminophen,Aurobindo Pharm,0,642,125413,1562080,2349056
Tizanidine HCl,Tizanidine HCl,Aurobindo Pharm,0,0,0,276744,2498302
Efavirenz,Efavirenz,Aurobindo Pharm,0,0,2408547,3723065,2521709
Eletriptan HBr,Eletriptan Hydrobromide,Aurobindo Pharm,0,0,22112,1205257,2720229
Dextroamphetamine Sulfate,Dextroamphetamine Sulfate,Aurobindo Pharm,666909,2192263,3273128,2739681,2741101
Torsemide,Torsemide,Aurobindo Pharm,7705,6069,6975,1104702,2812514
Entecavir,Entecavir,Aurobindo Pharm,20071338,11731664,3266669,2668635,2880418
Droxidopa,Droxidopa,Aurobindo Pharm,0,0,0,0,2901672
Amlodipine-Olmesartan,Amlodipine Bes/Olmesartan Med,Aurobindo Pharm,737256,2256387,2538286,2826548,3016630
Minocycline HCl,Minocycline HCl,Aurobindo Pharm,3188824,3842026,3698896,2774616,3017494
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,Aurobindo Pharm,4995527,5046603,4039931,2816939,3129997
Letrozole,Letrozole,Aurobindo Pharm,0,0,247126,2778771,3142753
Ciprofloxacin HCl*,Ciprofloxacin HCl,Aurobindo Pharm,9370575,7092447,8208896,8593299,3155211
Cyclobenzaprine HCl,Cyclobenzaprine HCl,Aurobindo Pharm,30514,24627,1844007,2880113,3597818
Rabeprazole Sodium,Rabeprazole Sodium,Aurobindo Pharm,0,0,584287,3004107,3674060
Quinapril-Hydrochlorothiazide,Quinapril/Hydrochlorothiazide,Aurobindo Pharm,698700,1446710,1516441,2412656,3714147
Bisoprolol Fumarate,Bisoprolol Fumarate,Aurobindo Pharm,15474,10752,148115,2335718,3737810
Gemfibrozil,Gemfibrozil,Aurobindo Pharm,0,426998,6027002,6126710,3754307
Risedronate Sodium,Risedronate Sodium,Aurobindo Pharm,3239146,4262796,3622556,2806218,4081158
Atazanavir Sulfate,Atazanavir Sulfate,Aurobindo Pharm,0,4057355,9495735,7186665,4089712
Propafenone HCl,Propafenone HCl,Aurobindo Pharm,0,0,0,587801,4128547
Benazepril HCl,Benazepril HCl,Aurobindo Pharm,1869144,316034,278909,369896,4242463
Dextroamphetamine-Amphetamine,Dextroamphetamine/Amphetamine,Aurobindo Pharm,13438604,11611017,9488317,5655815,4280816
Olopatadine HCl*,Olopatadine HCl,Aurobindo Pharm,1955090,196063,1775558,8487768,4298281
Buspirone HCl,Buspirone HCl,Aurobindo Pharm,0,0,0,0,4380410
Fenofibric Acid,Fenofibric Acid (Choline),Aurobindo Pharm,0,0,0,2018737,4488573
Flecainide Acetate,Flecainide Acetate,Aurobindo Pharm,1791981,1490182,2690288,2937417,4520773
Terbinafine HCl,Terbinafine HCl,Aurobindo Pharm,714652,1979256,3872217,3599546,4632803
Azithromycin*,Azithromycin,Aurobindo Pharm,0,171248,4886205,6672463,4703952
Tamoxifen Citrate,Tamoxifen Citrate,Aurobindo Pharm,0,0,0,0,4710135
Omeprazole-Sodium Bicarbonate,Omeprazole/Sodium Bicarbonate,Aurobindo Pharm,9729601,4291668,2248789,3400241,4841992
Armodafinil,Armodafinil,Aurobindo Pharm,0,244711,4267135,5078494,5014849
Ritonavir,Ritonavir,Aurobindo Pharm,0,1463527,5126925,5151633,5039268
Silodosin,Silodosin,Aurobindo Pharm,0,411034,6624935,5084946,5133280
Eszopiclone,Eszopiclone,Aurobindo Pharm,1397191,5213854,6054422,4742690,5179204
Memantine HCl,Memantine HCl,Aurobindo Pharm,9525142,7938549,7712386,8376538,5223363
Emtricitabine-Tenofovir Disop,Emtricitabine/Tenofovir (Tdf),Aurobindo Pharm,0,0,0,0,5255512
Aripiprazole,Aripiprazole,Aurobindo Pharm,26091955,17873519,67454937,28684837,5457663
Ibuprofen,Ibuprofen,Aurobindo Pharm,0,459,36416,139321,5806311
Citalopram HBr,Citalopram Hydrobromide,Aurobindo Pharm,16646990,12147566,7836517,6464497,5927229
Pioglitazone-Metformin,Pioglitazone HCl/Metformin HCl,Aurobindo Pharm,7660199,4167192,4251640,7115775,6002635
Entacapone,Entacapone,Aurobindo Pharm,7157273,7214941,5239356,4935158,6065652
Methotrexate*,Methotrexate Sodium,Aurobindo Pharm,0,0,0,3465849,6189749
Oxycodone-Acetaminophen,Oxycodone HCl/Acetaminophen,Aurobindo Pharm,26960695,25163078,13225268,9703573,6218301
Tadalafil,Tadalafil,Aurobindo Pharm,0,0,11085070,7348680,6395060
Clindamycin HCl,Clindamycin HCl,Aurobindo Pharm,1435772,1783992,6982422,7302220,6466525
Raloxifene HCl,Raloxifene HCl,Aurobindo Pharm,0,0,0,0,6516577
Repaglinide,Repaglinide,Aurobindo Pharm,2043338,4739190,6284169,6974188,6608442
Phenytoin Sodium Extended,Phenytoin Sodium Extended,Aurobindo Pharm,2158360,1964788,8281306,6675169,6781567
Levofloxacin*,Levofloxacin,Aurobindo Pharm,12397918,10041435,9932747,11015184,6990933
Rivastigmine,Rivastigmine Tartrate,Aurobindo Pharm,669333,6260909,5275604,7572070,7118333
Amoxicillin,Amoxicillin,Aurobindo Pharm,4721454,6558498,10637096,7599003,7591981
Sildenafil Citrate,Sildenafil Citrate,Aurobindo Pharm,8289280,10364870,10628936,9775616,7945479
Galantamine ER,Galantamine HBr,Aurobindo Pharm,1916542,6037432,8393243,8117931,8168664
Progesterone,"Progesterone, Micronized",Aurobindo Pharm,0,0,212513,3881863,8281215
Dofetilide,Dofetilide,Aurobindo Pharm,0,0,298093,8135813,8322166
Niacin ER,Niacin,Aurobindo Pharm,0,1487543,8153760,7391870,8334895
Azelastine HCl*,Azelastine HCl,Aurobindo Pharm,0,0,0,0,8453347
Cefdinir,Cefdinir,Aurobindo Pharm,3391297,2962564,3778001,5224514,8745108
Ibandronate Sodium*,Ibandronate Sodium,Aurobindo Pharm,6876495,7831356,6681876,9426143,9116984
Pioglitazone HCl,Pioglitazone HCl,Aurobindo Pharm,7028,4460,287230,8044976,9394082
Carvedilol,Carvedilol,Aurobindo Pharm,30038041,34916414,55270381,28250616,9483322
Prasugrel HCl,Prasugrel HCl,Aurobindo Pharm,121203,11127842,8591275,6912082,9488314
Sumatriptan Succinate*,Sumatriptan Succinate,Aurobindo Pharm,5322628,5967752,7570922,7039285,9556023
Cefpodoxime Proxetil,Cefpodoxime Proxetil,Aurobindo Pharm,6326451,7682869,10495624,10400159,9606758
Lorazepam*,Lorazepam,Aurobindo Pharm,0,1173037,3745790,3883774,9630025
Hydrocodone-Acetaminophen,Hydrocodone/Acetaminophen,Aurobindo Pharm,16546656,23031658,26379305,18854537,9696799
Ramipril,Ramipril,Aurobindo Pharm,5927751,9987393,14063869,12273242,10009390
Lamotrigine,Lamotrigine,Aurobindo Pharm,3165929,2104308,3009068,6344014,10520258
Potassium Chloride*,Potassium Chloride,Aurobindo Pharm,0,0,1339,4639450,10697302
Acetaminophen-Codeine,Acetaminophen With Codeine,Aurobindo Pharm,5218631,7076701,8184570,9482247,10973410
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Aurobindo Pharm,0,981388,2951271,6835619,11223650
Doxepin HCl*,Doxepin HCl,Aurobindo Pharm,0,0,2666077,14163942,11261303
Efavirenz-Emtric-Tenofov Disop,Efavirenz/Emtricit/Tenofovr Df,Aurobindo Pharm,0,0,0,0,11572734
Moxifloxacin,Moxifloxacin HCl,Aurobindo Pharm,0,1036973,8193047,14343177,11691960
Dorzolamide-Timolol,Dorzolamide/Timolol/PF,Aurobindo Pharm,0,1480657,8524890,9792028,12295061
Modafinil,Modafinil,Aurobindo Pharm,9074467,7878757,10071327,12119944,12392014
Simvastatin,Simvastatin,Aurobindo Pharm,16446920,17878465,19737754,17015002,13226638
Valganciclovir HCl,Valganciclovir HCl,Aurobindo Pharm,27965112,18853749,12582219,9765406,13518526
Atenolol,Atenolol,Aurobindo Pharm,41914,14775,7781,1300499,13823925
Sulfamethoxazole-Trimethoprim*,Sulfamethoxazole/Trimethoprim,Aurobindo Pharm,12627493,14118767,20631368,16546512,13872136
Zolpidem Tartrate*,Zolpidem Tartrate,Aurobindo Pharm,19310,1184819,12891716,8678291,13949049
Ziprasidone HCl,Ziprasidone HCl,Aurobindo Pharm,302692,5440463,8139941,9233974,14481291
Fenofibrate,Fenofibrate Nanocrystallized,Aurobindo Pharm,1431418,13404602,20494180,17268699,14489308
