Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,Country,Facility Type,EV Pricing
HION NETWORK LINCOLN DC2,100 Twin River Road,Lincoln,RI,2865,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.889557,-71.451609,5/8/2023,197848,2023-05-08 00:28:41 UTC,10/16/2021,CHADEMO J1772COMBO,US,,
GLE STATION 5,5431 US-31 N,Eastport,MI,49627,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,45.113662,-85.350472,5/8/2023,197886,2023-05-08 00:24:22 UTC,10/19/2021,CHADEMO J1772COMBO,US,,
GLE STATION 6,5431 US-31 N,Eastport,MI,49627,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,45.113685,-85.350471,5/8/2023,197890,2023-05-08 00:28:40 UTC,10/19/2021,CHADEMO J1772COMBO,US,,
HION NETWORK LINCOLN DC1,100 Twin River Road,Lincoln,RI,2865,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.889558,-71.451561,5/8/2023,197895,2023-05-08 00:28:40 UTC,10/19/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR KOHLS BMONT DC2,1479 E 2nd St,Beaumont,CA,92223,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.921956,-116.955913,5/8/2023,197916,2023-05-08 00:23:04 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR KOHLS PD DC4,34940 Monterey Ave,Palm Desert,CA,92211,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.794775,-116.386071,5/8/2023,197917,2023-05-08 00:23:36 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR KOHLS BMONT DC1,1479 E 2nd St,Beaumont,CA,92223,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.921949,-116.955883,5/8/2023,197928,2023-05-08 00:28:45 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
SHQ PUBLIC SEDALIA DC2,5496 US HIGHWAY 85,Sedalia,CO,80135,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.442127,-104.96771,5/8/2023,197930,2023-05-08 00:28:46 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
SHQ PUBLIC SEDALIA DC1,5496 US HIGHWAY 85,Sedalia,CO,80135,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.442113,-104.967651,5/8/2023,197931,2023-05-08 00:28:46 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR KOHLS PD DC3,34940 Monterey Ave,Palm Desert,CA,92211,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.794774,-116.386098,5/8/2023,197932,2023-05-08 00:28:46 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR KOHLS PD DC2,34940 Monterey Ave,Palm Desert,CA,92211,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.794773,-116.386128,5/8/2023,197933,2023-05-08 00:28:46 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR KOHLS PD DC1,34940 Monterey Ave,Palm Desert,CA,92211,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.794772,-116.386157,5/8/2023,197934,2023-05-08 00:28:46 UTC,10/20/2021,CHADEMO J1772COMBO,US,,
EVERGY @KTA SVC -406B,209 Kansas Turnpike @ KS Turnpike - Lawrence,Lawrence OCL,KS,66044,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.02035,-95.134674,5/8/2023,197946,2023-05-08 00:15:59 UTC,10/21/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR SANTACLARITADC1,19307  Golden Valley Rd,Santa Clarita,CA,91321,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.392319,-118.469933,5/8/2023,197947,2023-05-08 00:22:54 UTC,10/21/2021,CHADEMO J1772COMBO,US,,
PIEDMONT EMC CARRBORO PLAZA,104 NC 54 Hwy,Carrboro,NC,27501,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,35.917219,-79.095546,5/8/2023,197954,2023-05-08 00:28:33 UTC,10/21/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR RED BLUFF DC3,203 Antelope Blvd,Red Bluff,CA,96080,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.18162,-122.219647,5/8/2023,198122,2023-05-08 00:23:36 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
TOM STATION 1 TOM STATION 1,119 N Elm St,Marshville,NC,28103,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.986668,-80.368298,5/8/2023,198134,2023-05-08 00:28:21 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR RED BLUFF DC1,203 Antelope Blvd.,Red Bluff,CA,96080,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.181671,-122.219647,5/8/2023,198153,2023-05-08 00:28:48 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR RED BLUFF DC2,203 Antelope Blvd,Red Bluff,CA,96080,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.181645,-122.219648,5/8/2023,198154,2023-05-08 00:28:48 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
MASSDOT NBBRIDGEWATER R,"Fall River Expy,",Bridgewater,MA,2324,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.95634,-71.025185,5/8/2023,198155,2023-05-08 00:28:49 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
MASSDOT NBBRIDGEWATER L,"Fall River Expy,",Bridgewater,MA,2324,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.956337,-71.02522,5/8/2023,198156,2023-05-08 00:28:49 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
MASSDOT SBBRIDGEWATER L,MA-24,Bridgewater,MA,2324,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.956505,-71.027556,5/8/2023,198157,2023-05-08 00:28:49 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
MASSDOT SBBRIDGEWATER R,"MA-24,",Bridgewater,MA,2324,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.956399,-71.027687,5/8/2023,198158,2023-05-08 00:28:49 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TARGET REDD DC1,1280 Dana Dr,Redding,CA,96003,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.586094,-122.348823,5/8/2023,198159,2023-05-08 00:28:49 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR VITTLES DC,2385 North St,Anderson,CA,96007,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.454767,-122.295633,5/8/2023,198160,2023-05-08 00:28:50 UTC,10/23/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR MT SHASTA DC,134 Morgan Way,Mount Shasta,CA,96067,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.30991,-122.316518,5/8/2023,198181,2023-05-08 00:23:05 UTC,10/24/2021,CHADEMO J1772COMBO,US,,
DEALERSHIP DC FAST CHARGER,1550 Mansell Rd,Alpharetta,GA,30009,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.041042,-84.32269,5/8/2023,198183,2023-05-08 00:28:40 UTC,10/24/2021,J1772COMBO,US,,
DC CORRIDOR DUNSMUIR DC,4917 Dunsmuir Ave,Dunsmuir,CA,96025,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.222996,-122.276237,5/8/2023,198184,2023-05-08 00:28:50 UTC,10/24/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CARL'S JR DC,1842 Fort Jones Rd,Yreka,CA,96097,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.702338,-122.645127,5/8/2023,198204,2023-05-08 00:28:50 UTC,10/25/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR COMFORT INN DC,1844 Shastina Dr,Weed,CA,96094,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.399114,-122.379589,5/8/2023,198205,2023-05-08 00:28:50 UTC,10/25/2021,CHADEMO J1772COMBO,US,,
STONEY'S PARK B01,195 E Douglas Ave,El Cajon,CA,92020,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,32.793547,-116.961361,5/8/2023,199089,2023-05-08 00:28:21 UTC,10/26/2021,CHADEMO J1772COMBO,US,,
STONEY'S PARK B02,195 E Douglas Ave.,El Cajon,CA,92020,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,32.793548,-116.961478,5/8/2023,199090,2023-05-08 00:28:21 UTC,10/26/2021,CHADEMO J1772COMBO,US,,
BDO PUBLIC BENNETT DC1,1092 Cedar Street,Bennett,CO,80102,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.742599,-104.430433,5/8/2023,199132,2023-05-08 00:23:41 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
BDO PUBLIC BENNETT DC2,1092 cedar street,Bennett,CO,80102,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.742681,-104.430633,5/8/2023,199137,2023-05-08 00:24:39 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
MORRIESCHARGE STATION 1,1440 Heritage Boulevard,West Salem,WI,54669,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,43.898384,-91.104681,5/8/2023,199170,2023-05-08 00:28:40 UTC,10/27/2021,J1772COMBO,US,,
GEORGIA POWER CORNELIA DC1,158 Old Level Grove Rd,Cornelia,GA,30531,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.511997,-83.545968,5/8/2023,199173,2023-05-08 00:28:47 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
GEORGIA POWER CORNELIA DC2,158 Old Level Grove Rd,Cornelia,GA,30531,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.511967,-83.545998,5/8/2023,199174,2023-05-08 00:28:47 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR BEAR RIVER DC1,260 Keisner,Loleta,CA,95551,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.626727,-124.210715,5/8/2023,199177,2023-05-08 00:28:51 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR BEAR RIVER DC2,260 Keisner,Loleta,CA,95551,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.626713,-124.21069,5/8/2023,199178,2023-05-08 00:28:51 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CRESCENT C DC1,655 US-101,Crescent City,CA,95531,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.750726,-124.181196,5/8/2023,199179,2023-05-08 00:28:51 UTC,10/27/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CRESCENT C DC2,655 US-101,Crescent City,CA,95531,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.750709,-124.181216,5/8/2023,199380,2023-05-08 00:28:51 UTC,10/28/2021,CHADEMO J1772COMBO,US,,
CITY LIGHT BURIEN LIBRARY,15135 4th Ave SW,Burien,WA,98166,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,47.467371,-122.33941,5/8/2023,199383,2023-05-08 00:28:52 UTC,10/28/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR LUCKY7 CASINO 2,350 N Indian Rd,Smith River,CA,95567,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,41.956729,-124.202217,5/8/2023,199384,2023-05-08 00:28:52 UTC,10/28/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR BENBOW INN DC,445 Lake Benbow Dr,Garberville,CA,95542,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.067257,-123.790085,5/8/2023,199501,2023-05-08 00:28:52 UTC,10/30/2021,CHADEMO J1772COMBO,US,,
META MPK23-05 FC,300 Constitution Dr MPK 23,Menlo Park,CA,94025,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,37.480868,-122.167804,5/8/2023,200410,2023-05-08 00:06:52 UTC,11/2/2021,CHADEMO J1772COMBO,US,,
E-EXPRESS 1 @OKEMAH,706 S Woody Guthrie St,Okemah,OK,74859,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,35.424196,-96.298885,5/8/2023,200416,2023-05-08 00:28:38 UTC,11/2/2021,CHADEMO J1772COMBO,US,,
E-EXPRESS 2 @OKEMAH,706 S Woody Guthrie St,Okemah,OK,74859,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,35.424197,-96.298919,5/8/2023,200417,2023-05-08 00:28:38 UTC,11/2/2021,CHADEMO J1772COMBO,US,,
VAIL PARKING VAIL DC1,395 E Lionshead Cir,Vail,CO,81657,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.6445,-106.38636,5/8/2023,200448,2023-05-08 00:24:44 UTC,11/3/2021,CHADEMO J1772COMBO,US,,
VAIL PARKING VAIL DC2,395 E Lionshead Cir,Vail,CO,81657,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.6445,-106.386388,5/8/2023,200449,2023-05-08 00:24:44 UTC,11/3/2021,CHADEMO J1772COMBO,US,,
VAIL PARKING VAIL DC4,395 E Lionshead Cir,Vail,CO,81657,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.644504,-106.386423,5/8/2023,200450,2023-05-08 00:24:44 UTC,11/3/2021,CHADEMO J1772COMBO,US,,
VAIL PARKING VAIL DC3,395 E Lionshead Cir,Vail,CO,81657,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.644501,-106.386456,5/8/2023,200451,2023-05-08 00:24:44 UTC,11/3/2021,CHADEMO J1772COMBO,US,,
NIC NIC DC EXPRESS,1920 N 21st,Lincoln,NE,68504,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.832172,-96.69128,5/8/2023,200577,2023-05-08 00:28:51 UTC,11/5/2021,CHADEMO J1772COMBO,US,,
MERCEDES BENZ CHARGEPOINT,2200 Martin Luther king jr. blvd,Eugene,OR,97401,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,44.059692,-123.078156,5/8/2023,200587,2023-05-08 00:28:56 UTC,11/5/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR EDDIES Y DC2,36017 Calico Blvd,Yermo,CA,92398,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.907482,-116.835974,5/8/2023,200588,2023-05-08 00:28:56 UTC,11/5/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR EDDIES Y DC1,36017 Calico Blvd,Yermo,CA,92398,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.907504,-116.836001,5/8/2023,200589,2023-05-08 00:28:56 UTC,11/5/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR HILTON DC,27710 The Old Rd,Valencia,CA,91355,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.423997,-118.584397,5/8/2023,200653,2023-05-08 00:28:34 UTC,11/6/2021,CHADEMO J1772COMBO,US,,
HION NETWORK MACKINAW DC3,1080 S Nicolet St,Mackinaw City,MI,49701,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,45.767678,-84.733768,5/8/2023,200670,2023-05-08 00:28:56 UTC,11/6/2021,CHADEMO J1772COMBO,US,,
HION NETWORK MACKINAW DC4,1080 S Nicolet St,Mackinaw City,MI,49701,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,45.767671,-84.733781,5/8/2023,200671,2023-05-08 00:28:56 UTC,11/6/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TARGETPDALE DC2,39440 10th Street West,Palmdale,CA,93551,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.599092,-118.147414,5/8/2023,200683,2023-05-08 00:29:01 UTC,11/6/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR BLYTH DENNY DC2,876 W Donlon St,Blythe,CA,92225,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.605676,-114.606248,5/8/2023,200712,2023-05-08 00:29:02 UTC,11/7/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR BLYTH DENNY DC1,876 W Donlon St,Blythe,CA,92225,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.605676,-114.60628,5/8/2023,200713,2023-05-08 00:29:02 UTC,11/7/2021,CHADEMO J1772COMBO,US,,
GRAND LAKE DCFC 1,1029 Park Ave,Grand Lake,CO,80447,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.252214,-105.818239,5/8/2023,200746,2023-05-08 00:28:57 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
GRAND LAKE DCFC 2,1029 Park Ave,Grand Lake,CO,80447,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,40.252214,-105.818185,5/8/2023,200747,2023-05-08 00:28:57 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR VVILLE M6 DC2,16868 Stoddard Wells Rd,Victorville,CA,92394,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.556276,-117.289921,5/8/2023,200748,2023-05-08 00:29:01 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR VVILLE M6 DC1,16868 Stoddard Wells Rd,Victorville,CA,92394,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.556249,-117.289914,5/8/2023,200750,2023-05-08 00:29:01 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TARGETPDALE DC1,39440 10th Street West,Palmdale,CA,93551,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.59907,-118.147414,5/8/2023,200751,2023-05-08 00:29:01 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR DC CASTAIC 2,27923 Sloan Canyon Rd,Castaic,CA,91384,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.496218,-118.626095,5/8/2023,200752,2023-05-08 00:29:02 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR DC CASTAIC 1,27923 Sloan Canyon Rd,Castaic,CA,91384,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.496216,-118.626065,5/8/2023,200753,2023-05-08 00:29:02 UTC,11/9/2021,CHADEMO J1772COMBO,US,,
PIVET PUBLIC DC6,2244 Metropolitan Pkwy SW,Atlanta,GA,30315,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,33.692279,-84.406759,5/8/2023,200883,2023-05-08 00:21:33 UTC,11/10/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TEJON RANCH DC2,5521 Dennis McCarthy Dr,Lebec,CA,93243,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.988165,-118.947231,5/8/2023,200934,2023-05-08 00:29:03 UTC,11/10/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TEJON RANCH DC3,5521 Dennis McCarthy Dr,Lebec,CA,93243,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.98816,-118.9472,5/8/2023,200935,2023-05-08 00:29:03 UTC,11/10/2021,CHADEMO J1772COMBO,US,,
FLEET SERVICES DCFC-STATION 3,301 E Huron St,Ann Arbor,MI,48104,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,42.282111,-83.745025,5/8/2023,200995,2023-05-08 00:29:04 UTC,11/11/2021,CHADEMO J1772COMBO,US,,
PIEDMONT EMC ARBY'S 1,1314 Mebane Oaks Rd,Mebane,NC,27302,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,36.068138,-79.270321,5/8/2023,201000,2023-05-08 00:29:04 UTC,11/11/2021,CHADEMO J1772COMBO,US,,
MANOWARHD DCFAST HOG,2073 Bryant Rd,Lexington,KY,40509,888-758-4389,Public,Mon 10:00am - 6:00pm; Tue 10:00am - 6:00pm; Wed 10:00am - 6:00pm; Thu 10:00am - 6:00pm; Fri 10:00am - 6:00pm; Sat 10:00am - 6:00pm; Sun 10:00am - 6:00pm,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.01683,-84.409096,5/8/2023,201020,2023-05-08 00:16:37 UTC,11/12/2021,J1772COMBO,US,,
PIEDMONT TRIAD DC250 1,824 N Main St,Graham,NC,27253,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,36.056667,-79.399134,5/8/2023,201065,2023-05-08 00:28:29 UTC,11/13/2021,CHADEMO J1772COMBO,US,,
CITY OF ASPEN CITY HALL,415 Rio Grande Pl,Aspen,CO,81611,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.191855,-106.818515,5/8/2023,201074,2023-05-08 00:28:56 UTC,11/13/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TARGET S. DC2,10424 Trinity Pkwy,Stockton,CA,95219,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.051019,-121.373739,5/8/2023,201083,2023-05-08 00:29:05 UTC,11/13/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TARGET S. DC1,10424 Trinity Pkwy,Stockton,CA,95219,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.051016,-121.373702,5/8/2023,201084,2023-05-08 00:29:05 UTC,11/13/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CIRCLE K 76 DC1,12754 CA-33,Gustine,CA,95322,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,37.104788,-121.015324,5/8/2023,201085,2023-05-08 00:29:06 UTC,11/13/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CLOVERDALE DC1,1139 S Cloverdale Blvd,Cloverdale,CA,95425,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.784649,-123.013291,5/8/2023,201117,2023-05-08 00:29:08 UTC,11/14/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR GRASSVALLEY DC2,290 Sierra College Dr,Grass Valley,CA,95945,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.234941,-121.053846,5/8/2023,201178,2023-05-08 00:28:54 UTC,11/16/2021,CHADEMO J1772COMBO,US,,
FRONT LOT CPE250 #1,5740 Cushing Pkwy,Fremont,CA,94538,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,37.4992,-121.975999,5/8/2023,201184,2023-05-08 00:29:07 UTC,11/16/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR OAKDALE C DC2,200 N 3rd Ave,Oakdale,CA,95361,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,37.767592,-120.848953,5/8/2023,201185,2023-05-08 00:29:08 UTC,11/16/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR GRASSVALLEY DC1,290 Sierra College Dr,Grass Valley,CA,95945,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,39.234953,-121.053881,5/8/2023,201220,2023-05-08 00:28:54 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR EDDIES Y DC3,36017 Calico Blvd,Yermo,CA,92398,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.907542,-116.836048,5/8/2023,201225,2023-05-08 00:29:05 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR TEJON RANCH DC1,5521 Dennis McCarthy Dr,Lebec,CA,93243,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,34.98814,-118.947148,5/8/2023,201226,2023-05-08 00:29:05 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CIRCLE K 76 DC3,12754 CA-33,Gustine,CA,95322,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,37.104751,-121.015321,5/8/2023,201232,2023-05-08 00:29:08 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR CLOVERDALE DC2,1139 S Cloverdale Blvd,Cloverdale,CA,95425,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.784669,-123.013309,5/8/2023,201233,2023-05-08 00:29:08 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR OAKDALE C DC1,200 N 3rd Ave,Oakdale,CA,95361,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,37.767566,-120.848943,5/8/2023,201234,2023-05-08 00:29:08 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR HOLIDAY INN DC1,120 Grass Valley Hwy,Auburn,CA,95603,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.902266,-121.073321,5/8/2023,201240,2023-05-08 00:29:09 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
DC CORRIDOR HOLIDAY INN DC2,120 Grass Valley Hwy,Auburn,CA,95603,888-758-4389,Public,24 hours daily,,1,ChargePoint Network,http://www.chargepoint.com/,GPS,38.902281,-121.073297,5/8/2023,201241,2023-05-08 00:29:09 UTC,11/17/2021,CHADEMO J1772COMBO,US,,
